SubRecipeName,SubRecipeDescription,SubRecipeId
Std Footlong Sub bread                           ,Std Footlong Sub Bread                           ,1
Std 6 Inch Sub bread                             ,Std 6 Inch Sub Bread                             ,2
Std Footlong Flatbread Bread                     ,Std Footlong Flatbread Bread                     ,3
Std 6 Inch Flatbread bread                       ,Std 6 Inch Flatbread bread                       ,4
"Std Salad Lettuce, bowl, & dressing              ","Std Salad Lettuce, Bowl & Dressing               ",5
Std Footlong Vegetables DELETE                   ,Std Footlong Vegetables DELETE                   ,6
Std 6 Inch Vegetables                            ,Std 6 Inch Vegetables                            ,7
Std Sliced Cheese DELETE                         ,Std Sliced Cheese DELETE                         ,8
Sliced Cheese                                    ,Sliced Cheese                                    ,9
Vegetables                                       ,Vegetables                                       ,10
Std 6 -Inch Sub bread                            ,Std 6 -Inch Sub Bread                            ,11
Sauces                                           ,"Sauces, core sauces                              ",12
Std Mini Sub bread                               ,Std Mini Sub bread                               ,13
Std English Muffin bread                         ,Std English Muffin Bread                         ,14
Std Breakfast Footlong bread & egg               ,Std Breakfast FL Bread & Egg                     ,15
Std Breakfast 6 inch Bread & Egg                 ,Std Breakfast 6 inch Bread & Egg                 ,16
Std Breakfast Flatbread FL & Egg                 ,Std Breakfast Flatbread FL & Egg                 ,17
Std Breakfast Flatbread 6 inch & Egg             ,Std Breakfast 6 Inch Flatbread & Egg             ,18
Std Breakfast Flatbread 3 Inch & Egg             ,Std Breakfast 3 inch Flatbread & Egg             ,19
Std Breakfast Biscuit bread                      ,Std Breakfast Biscuit & egg                      ,20
Std Breakfast Croissant Bread                    ,Std Breakfast Croissant & Egg                    ,21
"Std Subway To Go!  pkg, chips & cookie           ","Std Subway to Go! Pkg, chips & cookie            ",22
Std English muffin Liquid egg                    ,Std English muffin with liquid egg omelet program,23
Std breakfast footlong liquid egg                ,Std breakfast footlong liquid egg omelet         ,24
Std Breakfast 6 inch liquid egg                  ,Std Breakfast 6 inch liquid egg omelet           ,25
Std Breakfast FL Flatbread Liquid egg            ,Std Bkfst FL Flatbread Liquid Egg Omelet         ,26
Std Breakfast 6 inch Flatbread Liquid Egg        ,Std Bkfst 6 inch Flatbread Liquid Egg Omelet     ,27
Std Breakfast 3 inch Flatbread Liquid Egg        ,Std Bkfst 3 inch Flatbread Liquid Egg Omelet     ,28
Std Breakfast Biscuit Liquid Egg                 ,Std Bkfst Biscuit Liquid Egg Omelet              ,29
Std Breakfast Bagel Liquid Egg                   ,Std Bkfst Bagel Liquid Egg Omelet                ,30
Std Breakfast Bagel & Egg                        ,Std Breakfast Bagel & Egg                        ,31
std Breakfast Croissant Liquid Egg               ,Std Breakfast Croissant Liquid Egg Omelet        ,32
Std Breakfast Mini Sub with Egg                  ,Std Breakfast Mini Sub with Egg                  ,33
Std Breakfast Mini Sub Liquid Egg                ,Std Breakfast Mini Sub Liquid Egg                ,34
Sliced Cheese - Metric                           ,Sliced Cheese - Metric                           ,35
Sauces Canada                                    ,Sauces Canada                                    ,36
Std Wrap Bread                                   ,Std Wrap Bread                                   ,37
Std Breakfast Wrap Bread                         ,Std Breakfast Wrap Bread                         ,38
Std 3 inch Flatbread                             ,Std 3 inch Flatbread                             ,39
Flatizza Flatbread & Packaging                   ,Flatizza Flatbread & packaging items             ,40
Std Salad Lettuce & Bowl - Metric                ,Std Salad Lettuce & Bowl - Metric                ,41
"Vegetables - Metric,                             ",Vegetables - Metric                              ,42
"Vegetables, with Carrot - Metric                 ","Vegetables, with Carrot - Metric                 ",43
Std Wrap 6inch Bread                             ,Std Wrap 6inch Bread                             ,44
Std Subway To Go! Footlong                       ,Std Subway To Go! Footlong                       ,45
6 inch Flatbread with Pouch                      ,6 inch Flatbread with pouch                      ,46
"Std Subway To Go! Pkg,  & 2 Cookies              ","Std Subway To Go! Pkg,  & 2 Cookies              ",47
Std Subway To Go! Footlong with 2 cookies        ,Std Subway To Go! Footlong with 2 cookies        ,48
Vegetables Canada                                ,Vegetables Canada                                ,49
Vegetables Canada Deli Snack                     ,Vegetables Canada Deli Snack                     ,50
Vegetables - Carribean                           ,Vegetables - Carribean                           ,51
Std Breakfast Deli Roll & Egg                    ,Std Breakfast Deli Roll & Egg                    ,52
Vegetables - Singapore Metric                    ,Vegetables - Singapore Metric                    ,53
Deli Roll - Soup                                 ,Deli Roll - Soup                                 ,54
Std Footlong Sub Bread - Bahamas                 ,Std Footlong Sub Bread - Bahamas                 ,55
Std Footlong Flatbread Bread-Bahamas             ,Std Footlong Flatbread Bread-Bahamas             ,56
Std 6 Inch Flatbread bread-Bahamas               ,Std 6 Inch Flatbread bread-Bahamas               ,57
"Std Salad lettuce, bowl, & dressing-Bahamas      ","Std Salad lettuce, bowl, & dressing-Bahamas      ",58
Sliced Cheese-Bahamas                            ,Sliced Cheese-Bahamas                            ,59
Std 6-Inch Sub bread-Bahamas                     ,Std 6-Inch Sub bread-Bahamas                     ,60
Std Mini Sub bread-Bahamas                       ,Std Mini Sub bread-Bahamas                       ,61
Std English Muffin bread-Bahamas                 ,Std English Muffin bread-Bahamas                 ,62
Std Breakfast Footlong bread & egg-Bahamas       ,Std Breakfast Footlong bread & egg-Bahamas       ,63
Std Breakfast 6 inch Bread & Egg-Bahamas         ,Std Breakfast 6 inch Bread & Egg-Bahamas         ,64
Std Breakfast Flatbread FL & Egg-Bahamas         ,Std Breakfast Flatbread FL & Egg-Bahamas         ,65
Std Breakfast Flatbread 6 inch & Egg-Bahamas     ,Std Breakfast Flatbread 6 inch & Egg-Bahamas     ,66
Std Breakfast 3 inch Flatbread & Egg-Bahamas     ,Std Breakfast 3 inch Flatbread & Egg-Bahamas     ,67
"Std Subway To Go!  pkg, chips & cookie-Bahamas   ","Std Subway To Go!  pkg, chips & cookie-Bahamas   ",68
Flatizza Flatbread & Packaging-Bahamas           ,Flatizza Flatbread & Packaging-Bahamas           ,69
Std Subway To Go! Footlong-Bahamas               ,Std Subway To Go! Footlong-Bahamas               ,70
"Smoothie 20 oz., Nontrad                         ","Nontrad, 20 oz Smoothies                         ",71
"Smoothie 32 oz., Nontrad                         ","Nontrad, 32 oz Smoothie                          ",72
Vegetables School Lunch                          ,Vegetables School Lunch                          ,73
Std Footlong Sub bread  -Asia                    ,Std Footlong Sub bread  -Asia                    ,74
Std Footlong Flatbread - Asia                    ,Std Footlong Flatbread - Asia                    ,76
Std Breakfast Footlong bread & egg - Asia        ,Std Breakfast Footlong bread & egg - Asia        ,78
Std Breakfast Flatbread FL & Egg - Asia          ,Std Breakfast Flatbread FL & Egg - Asia          ,80
Std Subway To Go! pkg with chips OR cookie       ,Std Subway To Go! pkg with chips OR cookie       ,82
Std Breakfast 6 in Bread & Egg Mayo Asia         ,Std Breakfast 6 in Bread & Egg Mayo Asia         ,84
Std Breakfast Footlong Bread with Egg Mayo - Asia,Std Breakfast Footlong Bread with Egg Mayo - Asia,86
Std Breakfast Wrap Bread plus egg mayo           ,Std Breakfast Wrap Bread plus egg mayo           ,87
